#;;;
#;Cross section name aliases for RFM6 / English language setting;;
#;;;
#;;;
#;;;
#;;;
#;;;
#;name;alias;visible name
#;;;
US;W10X60;W 10x60 | AISC 16 | --;
US;W14X61;W 14x61 | AISC 16 | --;
US;W24X62;W 24x62 | AISC 16 | --;
US;W21X62;W 21x62 | AISC 16 | --;
US;W18X65;W 18x65 | AISC 16 | --;
US;W12X65;W 12x65 | AISC 16 | --;
US;W16X67;W 16x67 | AISC 16 | --;
US;W8X67;W 8x67 | AISC 16 | --;
US;W10X68;W 10x68 | AISC 16 | --;
US;W21X68;W 21x68 | AISC 16 | --;
US;W14X68;W 14x68 | AISC 16 | --;
US;W24X68;W 24x68 | AISC 16 | --;
US;W18X71;W 18x71 | AISC 16 | --;
US;W12X72;W 12x72 | AISC 16 | --;
US;W21X73;W 21x73 | AISC 16 | --;
US;W14X74;W 14x74 | AISC 16 | --;
US;W18X76;W 18x76 | AISC 16 | --;
US;W24X76;W 24x76 | AISC 16 | --;
US;W16X77;W 16x77 | AISC 16 | --;
US;W10X77;W 10x77 | AISC 16 | --;
US;W12X79;W 12x79 | AISC 16 | --;
US;W14X82;W 14x82 | AISC 16 | --;
US;W21X83;W 21x83 | AISC 16 | --;
US;W27X84;W 27x84 | AISC 16 | --;
US;W24X84;W 24x84 | AISC 16 | --;
US;W18X86;W 18x86 | AISC 16 | --;
US;W12X87;W 12x87 | AISC 16 | --;
US;W10X88;W 10x88 | AISC 16 | --;
US;W16X89;W 16x89 | AISC 16 | --;
US;W30X90;W 30x90 | AISC 16 | --;
US;W14X90;W 14x90 | AISC 16 | --;
US;W21X93;W 21x93 | AISC 16 | --;
US;W27X94;W 27x94 | AISC 16 | --;
US;W24X94;W 24x94 | AISC 16 | --;
US;W12X96;W 12x96 | AISC 16 | --;
US;W18X97;W 18x97 | AISC 16 | --;
US;W30X99;W 30x99 | AISC 16 | --;
US;W14X99;W 14x99 | AISC 16 | --;
US;W10X100;W 10x100 | AISC 16 | --;
US;W16X100;W 16x100 | AISC 16 | --;
US;W21X101;W 21x101 | AISC 16 | --;
US;W27X102;W 27x102 | AISC 16 | --;
US;W24X103;W 24x103 | AISC 16 | --;
US;W24X104;W 24x104 | AISC 16 | --;
US;W18X106;W 18x106 | AISC 16 | --;
US;W12X106;W 12x106 | AISC 16 | --;
US;W30X108;W 30x108 | AISC 16 | --;
US;W14X109;W 14x109 | AISC 16 | --;
US;W21X111;W 21x111 | AISC 16 | --;
US;W10X112;W 10x112 | AISC 16 | --;
US;W27X114;W 27x114 | AISC 16 | --;
US;W30X116;W 30x116 | AISC 16 | --;
US;W24X117;W 24x117 | AISC 16 | --;
US;W33X118;W 33x118 | AISC 16 | --;
US;W18X119;W 18x119 | AISC 16 | --;
US;W12X120;W 12x120 | AISC 16 | --;
US;W14X120;W 14x120 | AISC 16 | --;
US;W21X122;W 21x122 | AISC 16 | --;
US;W30X124;W 30x124 | AISC 16 | --;
US;W27X129;W 27x129 | AISC 16 | --;
US;W33X130;W 33x130 | AISC 16 | --;
US;W18X130;W 18x130 | AISC 16 | --;
US;W24X131;W 24x131 | AISC 16 | --;
US;W30X132;W 30x132 | AISC 16 | --;
US;W21X132;W 21x132 | AISC 16 | --;
US;W14X132;W 14x132 | AISC 16 | --;
US;W36X135;W 36x135 | AISC 16 | --;
US;W12X136;W 12x136 | AISC 16 | --;
US;W33X141;W 33x141 | AISC 16 | --;
US;W18X143;W 18x143 | AISC 16 | --;
US;W14X145;W 14x145 | AISC 16 | --;
US;W24X146;W 24x146 | AISC 16 | --;
US;W27X146;W 27x146 | AISC 16 | --;
US;W21X147;W 21x147 | AISC 16 | --;
US;W30X148;W 30x148 | AISC 16 | --;
US;W40X149;W 40x149 | AISC 16 | --;
US;W36X150;W 36x150 | AISC 16 | --;
US;W12X152;W 12x152 | AISC 16 | --;
US;W33X152;W 33x152 | AISC 16 | --;
US;W18X158;W 18x158 | AISC 16 | --;
US;W14X159;W 14x159 | AISC 16 | --;
US;W36X160;W 36x160 | AISC 16 | --;
